class,algo,mean_gap,var_gap,mean_time,var_time,cnt
GreedyTrap,Bounded_BeamSearch,0.004039358928973707,0.0008075806324124761,0.0025933820007776375,2.5938970524101347e-08,100
GreedyTrap,Classic_BeamSearch,0.20505292627460023,2.699296978297421e-05,0.0005802520006545819,7.553646896728562e-11,100
GreedyTrap-ADV,Bounded_BeamSearch,0.0,0.0,5.1748998957918955e-05,7.341919554555189e-12,100
GreedyTrap-ADV,Classic_BeamSearch,0.0,0.0,1.345699987723492e-05,4.614644190471877e-13,100
HeavyTailed,Bounded_BeamSearch,0.0,0.0,0.00033901599948876537,2.3512319980673023e-10,100
HeavyTailed,Classic_BeamSearch,0.0,0.0,0.0005781180001213215,3.359129577669096e-09,100
InverseCorr,Bounded_BeamSearch,0.0,0.0,0.00038011999960872343,2.223873195918465e-09,100
InverseCorr,Classic_BeamSearch,0.0,0.0,0.0005677280000236352,4.881271061271813e-10,100
StronglyCorr,Bounded_BeamSearch,0.18977205153617444,0.02635041630461443,0.00259113500098465,2.621705310129977e-08,100
StronglyCorr,Classic_BeamSearch,0.3498017839444995,4.5865156548884e-05,0.0005740459999651648,1.7221182273544173e-09,100
Uncorrelated,Bounded_BeamSearch,0.0,0.0,0.00021250500038149766,1.1669429141494521e-09,100
Uncorrelated,Classic_BeamSearch,0.0,0.0,0.00018230299989227205,1.389023340130385e-10,100
Uncorrelated-Large,Bounded_BeamSearch,0.05598100824949139,1.471519999113905e-06,0.002028818999970099,1.6595745051470328e-07,100
Uncorrelated-Large,Classic_BeamSearch,0.05598100824949139,1.471519999113905e-06,0.0021149429990327917,2.6288695311979796e-09,100
WeaklyCorr,Bounded_BeamSearch,0.0,0.0,0.0021115309992455877,4.447313118001092e-08,100
WeaklyCorr,Classic_BeamSearch,0.0,0.0,0.0005752279999433085,9.226206476635816e-10,100
