class,algo,energy_proxy_mean,energy_proxy_std,count
GreedyTrap,Bounded_BeamSearch,0.002593382000777589,0.00016105579941157788,100
GreedyTrap,Classic_BeamSearch,0.000580252000654536,8.691171898379786e-06,100
GreedyTrap-ADV,Bounded_BeamSearch,5.1748998957918955e-05,2.7095976739278448e-06,100
GreedyTrap-ADV,Classic_BeamSearch,1.345699987723492e-05,6.793117245029617e-07,100
HeavyTailed,Bounded_BeamSearch,0.000339015999488717,1.5333727524869684e-05,100
HeavyTailed,Classic_BeamSearch,0.0005781180001212731,5.795799839253395e-05,100
InverseCorr,Bounded_BeamSearch,0.00038011999960867204,4.715796004831727e-05,100
InverseCorr,Classic_BeamSearch,0.000567728000023584,2.2093598759082226e-05,100
StronglyCorr,Bounded_BeamSearch,0.0025911350009845953,0.00016191680919935142,100
StronglyCorr,Classic_BeamSearch,0.0005740459999651159,4.149841234739312e-05,100
Uncorrelated,Bounded_BeamSearch,0.000212505000381447,3.4160546162923506e-05,100
Uncorrelated,Classic_BeamSearch,0.000182302999892223,1.1785683434277714e-05,100
Uncorrelated-Large,Bounded_BeamSearch,0.0020288189999700503,0.0004073787556006097,100
Uncorrelated-Large,Classic_BeamSearch,0.002114942999032744,5.1272502681239414e-05,100
WeaklyCorr,Bounded_BeamSearch,0.002111530999245542,0.00021088653627013,100
WeaklyCorr,Classic_BeamSearch,0.000575227999943255,3.0374671153174504e-05,100
