class,algo,mean_peak_bytes,std_peak_bytes,count
GreedyTrap,Bounded_BeamSearch,197137.6,4019.4634025506975,10
GreedyTrap,Classic_BeamSearch,118008.8,623.8911585988205,10
GreedyTrap-ADV,Bounded_BeamSearch,2248.0,108.84443537044562,10
GreedyTrap-ADV,Classic_BeamSearch,1584.0,0.0,10
HeavyTailed,Bounded_BeamSearch,162740.8,10199.831074853919,10
HeavyTailed,Classic_BeamSearch,96545.6,4498.188158704693,10
InverseCorr,Bounded_BeamSearch,135871.2,3772.355020408338,10
InverseCorr,Classic_BeamSearch,101538.4,1679.5133686742581,10
StronglyCorr,Bounded_BeamSearch,162500.8,4087.7350642569136,10
StronglyCorr,Classic_BeamSearch,101143.2,1367.1157636100575,10
Uncorrelated,Bounded_BeamSearch,89932.9,3230.876607912404,10
Uncorrelated,Classic_BeamSearch,42432.8,2542.4074679982614,10
WeaklyCorr,Bounded_BeamSearch,145078.4,4856.679871864912,10
WeaklyCorr,Classic_BeamSearch,75862.4,2346.5993929751016,10
