class,algo,mean_runtime_s,var_runtime,ci95_runtime,mean_gap,var_gap,ci95_gap,opt_ratio,count
GreedyTrap,Bounded_BeamSearch,0.002593382000777588,2.593897052410241e-08,3.156693668466926e-05,0.004039358928973706,0.0008075806324124757,0.005569920787116964,1.0,100
GreedyTrap,Classic_BeamSearch,0.0005802520006545361,7.553646896718642e-11,1.703469692082437e-06,0.2050529262746002,2.6992969782974284e-05,0.001018313275560493,1.0,100
GreedyTrap-ADV,Bounded_BeamSearch,5.1748998957918955e-05,7.341919554555187e-12,5.310811440898576e-07,0.0,0.0,0.0,1.0,100
GreedyTrap-ADV,Classic_BeamSearch,1.345699987723492e-05,4.61464419047188e-13,1.3314509800258052e-07,0.0,0.0,0.0,1.0,100
HeavyTailed,Bounded_BeamSearch,0.000339015999488717,2.3512319980694555e-10,3.005410594874454e-06,0.0,0.0,0.0,1.0,100
HeavyTailed,Classic_BeamSearch,0.0005781180001212731,3.359129577668969e-09,1.1359767684936656e-05,0.0,0.0,0.0,1.0,100
InverseCorr,Bounded_BeamSearch,0.00038011999960867204,2.223873195918686e-09,9.242960169470181e-06,0.0,0.0,0.0,1.0,100
InverseCorr,Classic_BeamSearch,0.000567728000023584,4.881271061273197e-10,4.330345356780116e-06,0.0,0.0,0.0,1.0,100
StronglyCorr,Bounded_BeamSearch,0.0025911350009845953,2.6217053101299217e-08,3.17356946030729e-05,0.18977205153617446,0.02635041630461445,0.0318163101688123,1.0,100
StronglyCorr,Classic_BeamSearch,0.000574045999965116,1.7221182273542705e-09,8.133688820089053e-06,0.34980178394449934,4.586515654888396e-05,0.0013273868516683169,1.0,100
Uncorrelated,Bounded_BeamSearch,0.000212505000381447,1.166942914149228e-09,6.695467047933007e-06,0.0,0.0,0.0,1.0,100
Uncorrelated,Classic_BeamSearch,0.00018230299989222302,1.3890233401300808e-10,2.3099939531184316e-06,0.0,0.0,0.0,1.0,100
Uncorrelated-Large,Bounded_BeamSearch,0.00202881899997005,1.659574505147013e-07,7.98462360977195e-05,0.05598100824949134,1.4715199991139122e-06,0.0002377601991207949,0.0,100
Uncorrelated-Large,Classic_BeamSearch,0.0021149429990327444,2.6288695311977083e-09,1.0049410525522935e-05,0.05598100824949134,1.4715199991139122e-06,0.0002377601991207949,0.0,100
WeaklyCorr,Bounded_BeamSearch,0.002111530999245542,4.4473131180012814e-08,4.133376110894546e-05,0.0,0.0,0.0,1.0,100
WeaklyCorr,Classic_BeamSearch,0.0005752279999432551,9.226206476634921e-10,5.953435546022205e-06,0.0,0.0,0.0,1.0,100
