class,algo,mean_gap,var_gap,mean_time,var_time,cnt
GreedyTrap,BPSO,0.23131801482015427,0.0022309204597494394,0.1625557637400925,9.163014314539519e-06,100
GreedyTrap,BranchAndBound,0.0,0.0,0.007775890850462019,5.808216643825164e-09,100
GreedyTrap-ADV,BPSO,0.002171398149536913,2.131940109557682e-05,0.007789335469715298,1.2264321099245607e-05,100
GreedyTrap-ADV,BranchAndBound,0.0,0.0,6.577744614332914e-05,1.1453344134649363e-11,100
HeavyTailed,BPSO,0.6394136694155255,0.012745860615433913,0.16324364210478962,5.1384899826127816e-05,100
HeavyTailed,BranchAndBound,0.0,0.0,0.0002413433650508523,2.5330571215321138e-09,100
InverseCorr,BPSO,0.6494298284602321,0.018257721538469426,0.16435812369687483,2.4491086500321727e-05,100
InverseCorr,BranchAndBound,0.0,0.0,0.0001461750571615994,4.0492866461514446e-10,100
StronglyCorr,BPSO,0.217998017839445,1.4866551419143942e-06,0.1622998137352988,2.8015399091426988e-05,100
StronglyCorr,BranchAndBound,0.0,0.0,0.008052579185459763,1.365404867134366e-08,100
Uncorrelated,BPSO,0.6329875797089202,0.024714001461289294,0.02905224176123738,3.86422872410871e-07,100
Uncorrelated,BranchAndBound,0.0,0.0,5.299748387187719e-05,6.647678028031273e-11,100
Uncorrelated-Large,BPSO,0.6978292554876182,0.0234454867965072,0.4617413545679301,8.435871028659481e-05,100
Uncorrelated-Large,BranchAndBound,0.05598100824949139,1.471519999113905e-06,0.00043253210838884115,2.793584075927372e-09,100
WeaklyCorr,BPSO,0.26264918888989874,0.0013211268411789884,0.1606738721113652,1.6341786626004973e-05,100
WeaklyCorr,BranchAndBound,0.0,0.0,0.007681422443129122,1.0977210531981692e-08,100
