class,rep,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,0,GA,1559,0.14119170000776649,0.0,True,0.0007948999991640449,1000,60,38714
Uncorrelated,0,ImprovedGA,1559,0.7200905000208877,0.0,True,0.0007948999991640449,1000,60,38714
Uncorrelated,1,GA,0,0.14027530001476407,1.0,True,0.0007573000038973987,1000,60,39797
Uncorrelated,1,ImprovedGA,1632,0.7476788999629207,0.0,True,0.0007573000038973987,1000,60,39797
Uncorrelated,2,GA,1553,0.13986880000447854,0.0,True,0.0008095999946817756,1000,60,38670
Uncorrelated,2,ImprovedGA,1553,0.7188681000261568,0.0,True,0.0008095999946817756,1000,60,38670
Uncorrelated,3,GA,1446,0.14570570003706962,0.0,True,0.001021200034301728,1000,60,39537
Uncorrelated,3,ImprovedGA,1446,0.7586177000193857,0.0,True,0.001021200034301728,1000,60,39537
Uncorrelated,4,GA,1580,0.14397939998889342,0.0,True,0.0009278000215999782,1000,60,38910
Uncorrelated,4,ImprovedGA,1580,0.7247294000117108,0.0,True,0.0009278000215999782,1000,60,38910
WeaklyCorr,0,GA,975,0.2938051000237465,0.0,True,0.0020232999813742936,1000,150,98288
WeaklyCorr,0,ImprovedGA,975,1.7469698000350036,0.0,True,0.0020232999813742936,1000,150,98288
WeaklyCorr,1,GA,973,0.29196719999890774,0.0,True,0.0018301999662071466,1000,150,97989
WeaklyCorr,1,ImprovedGA,973,1.7125712999841198,0.0,True,0.0018301999662071466,1000,150,97989
WeaklyCorr,2,GA,975,0.2915439000353217,0.0,True,0.0018121000030077994,1000,150,96407
WeaklyCorr,2,ImprovedGA,975,1.749293500033673,0.0,True,0.0018121000030077994,1000,150,96407
WeaklyCorr,3,GA,973,0.2875159999821335,0.0,True,0.001974600018002093,1000,150,98649
WeaklyCorr,3,ImprovedGA,973,1.7038901000050828,0.0,True,0.001974600018002093,1000,150,98649
WeaklyCorr,4,GA,973,0.28891140001360327,0.0,True,0.001887399994302541,1000,150,97961
WeaklyCorr,4,ImprovedGA,973,1.7064994999673218,0.0,True,0.001887399994302541,1000,150,97961
StronglyCorr,0,GA,1009,0.2974197000148706,0.0,True,0.0018075000261887908,1000,150,96003
StronglyCorr,0,ImprovedGA,1009,1.7430870000389405,0.0,True,0.0018075000261887908,1000,150,96003
StronglyCorr,1,GA,1009,0.2962876000092365,0.0,True,0.001874700014013797,1000,150,99451
StronglyCorr,1,ImprovedGA,1009,1.7815258000046015,0.0,True,0.001874700014013797,1000,150,99451
StronglyCorr,2,GA,1009,0.314219799998682,0.0,True,0.0021614000434055924,1000,150,98517
StronglyCorr,2,ImprovedGA,1009,1.9377100000274368,0.0,True,0.0021614000434055924,1000,150,98517
StronglyCorr,3,GA,1009,0.2995657999999821,0.0,True,0.001868200022727251,1000,150,96429
StronglyCorr,3,ImprovedGA,1009,1.842232100025285,0.0,True,0.001868200022727251,1000,150,96429
StronglyCorr,4,GA,1009,0.3009351000073366,0.0,True,0.0018801999976858497,1000,150,97067
StronglyCorr,4,ImprovedGA,1009,1.8244901999714784,0.0,True,0.0018801999976858497,1000,150,97067
InverseCorr,0,GA,349,0.2985622000414878,0.0,True,0.001806700020097196,1000,150,98299
InverseCorr,0,ImprovedGA,349,2.0339579000137746,0.0,True,0.001806700020097196,1000,150,98299
