class,algo,mean_peak_bytes,std_peak_bytes,count
GreedyTrap,GA,195882.5,8763.174339244884,2
GreedyTrap,ImprovedGA,747110.0,34416.30125391164,2
GreedyTrap-ADV,GA,65249.0,527.5016587651645,2
GreedyTrap-ADV,ImprovedGA,312535.0,15259.364338005696,2
HeavyTailed,GA,199967.0,7843.228416921185,2
HeavyTailed,ImprovedGA,751289.0,14409.421987019465,2
InverseCorr,GA,198698.5,200.11121907579295,2
InverseCorr,ImprovedGA,750227.5,1819.3857479929868,2
StronglyCorr,GA,189503.5,378.3021279348029,2
StronglyCorr,ImprovedGA,742366.0,12637.412393365978,2
Uncorrelated,GA,199311.5,10952.376933798434,2
Uncorrelated,ImprovedGA,453400.5,14144.25694407451,2
WeaklyCorr,GA,204643.0,11554.124804588186,2
WeaklyCorr,ImprovedGA,717728.5,12964.80283305535,2
