class,rep,sample,algo,value,runtime_s,gap,opt_known,opt_time_s,capacity,n,sum_w
Uncorrelated,0,0,GreedyDensity,889,1.3699987903237343e-05,0.4057486631016043,True,0.0008474001660943031,1000,60,39836
Uncorrelated,0,0,Greedy+Max,1496,1.2400094419717789e-05,0.0,True,0.0008474001660943031,1000,60,39836
Uncorrelated,0,1,GreedyDensity,930,9.19983722269535e-06,0.4015444015444015,True,0.0009119999594986439,1000,60,38509
Uncorrelated,0,1,Greedy+Max,1554,1.0699965059757233e-05,0.0,True,0.0009119999594986439,1000,60,38509
Uncorrelated,0,2,GreedyDensity,963,8.400063961744308e-06,0.3493243243243243,True,0.0007680999115109444,1000,60,40319
Uncorrelated,0,2,Greedy+Max,1480,1.0400079190731049e-05,0.0,True,0.0007680999115109444,1000,60,40319
Uncorrelated,0,3,GreedyDensity,993,8.400063961744308e-06,0.3727100442198358,True,0.0008264000061899424,1000,60,39569
Uncorrelated,0,3,Greedy+Max,1583,1.0400079190731049e-05,0.0,True,0.0008264000061899424,1000,60,39569
Uncorrelated,0,4,GreedyDensity,933,8.299946784973145e-06,0.41320754716981134,True,0.000845000147819519,1000,60,39878
Uncorrelated,0,4,Greedy+Max,1590,1.0200077667832375e-05,0.0,True,0.000845000147819519,1000,60,39878
Uncorrelated,0,5,GreedyDensity,964,8.400063961744308e-06,0.38046272493573263,True,0.0008436001371592283,1000,60,39389
Uncorrelated,0,5,Greedy+Max,1556,1.0300194844603539e-05,0.0,True,0.0008436001371592283,1000,60,39389
Uncorrelated,0,6,GreedyDensity,967,8.299946784973145e-06,0.34083162917518744,True,0.0007911999709904194,1000,60,40420
Uncorrelated,0,6,Greedy+Max,1467,1.019984483718872e-05,0.0,True,0.0007911999709904194,1000,60,40420
Uncorrelated,0,7,GreedyDensity,996,8.299946784973145e-06,0.40784780023781214,True,0.0008297001477330923,1000,60,39125
Uncorrelated,0,7,Greedy+Max,1682,1.0299962013959885e-05,0.0,True,0.0008297001477330923,1000,60,39125
Uncorrelated,0,8,GreedyDensity,928,8.200062438845634e-06,0.38786279683377306,True,0.0008223999757319689,1000,60,39758
Uncorrelated,0,8,Greedy+Max,1516,1.0400079190731049e-05,0.0,True,0.0008223999757319689,1000,60,39758
Uncorrelated,0,9,GreedyDensity,970,8.300179615616798e-06,0.291970802919708,True,0.0008185999467968941,1000,60,39980
Uncorrelated,0,9,Greedy+Max,1370,1.0200077667832375e-05,0.0,True,0.0008185999467968941,1000,60,39980
Uncorrelated,0,10,GreedyDensity,988,8.299946784973145e-06,0.3567708333333333,True,0.0008475999347865582,1000,60,39282
Uncorrelated,0,10,Greedy+Max,1536,1.0299962013959885e-05,0.0,True,0.0008475999347865582,1000,60,39282
Uncorrelated,0,11,GreedyDensity,946,8.200062438845634e-06,0.4027777777777778,True,0.0008581001311540604,1000,60,39547
Uncorrelated,0,11,Greedy+Max,1584,1.0299962013959885e-05,0.0,True,0.0008581001311540604,1000,60,39547
Uncorrelated,0,12,GreedyDensity,899,8.499948307871819e-06,0.37612768910478833,True,0.000817399937659502,1000,60,40089
Uncorrelated,0,12,Greedy+Max,1441,1.0499963536858559e-05,0.0,True,0.000817399937659502,1000,60,40089
Uncorrelated,0,13,GreedyDensity,972,8.200062438845634e-06,0.3592617007251154,True,0.0008374999742954969,1000,60,39537
Uncorrelated,0,13,Greedy+Max,1517,1.0299962013959885e-05,0.0,True,0.0008374999742954969,1000,60,39537
Uncorrelated,0,14,GreedyDensity,928,8.300179615616798e-06,0.3441696113074205,True,0.0008493999484926462,1000,60,39073
Uncorrelated,0,14,Greedy+Max,1415,1.0400079190731049e-05,0.0,True,0.0008493999484926462,1000,60,39073
Uncorrelated,0,15,GreedyDensity,959,8.19982960820198e-06,0.3953341740226986,True,0.0008226998616009951,1000,60,38799
Uncorrelated,0,15,Greedy+Max,1586,1.0100193321704865e-05,0.0,True,0.0008226998616009951,1000,60,38799
Uncorrelated,0,16,GreedyDensity,990,8.499948307871819e-06,0.39744370054777844,True,0.0008910000324249268,1000,60,39044
Uncorrelated,0,16,Greedy+Max,1643,1.0299962013959885e-05,0.0,True,0.0008910000324249268,1000,60,39044
Uncorrelated,0,17,GreedyDensity,981,8.19982960820198e-06,0.34116856950973806,True,0.0008641001768410206,1000,60,39131
