class,algo,mean_gap,var_gap,mean_time,var_time,cnt
GreedyTrap,Greedy+Max,0.0,0.0,2.6726995129138233e-05,1.7410733113960542e-13,100
GreedyTrap,GreedyDensity,0.38127961277621736,0.0005586891985879485,2.299101557582617e-05,5.59414291532236e-13,100
GreedyTrap-ADV,Greedy+Max,0.0,0.0,2.403995022177696e-06,6.849064665583333e-15,100
GreedyTrap-ADV,GreedyDensity,0.035218170233516734,0.0005437130287869581,1.9759940914809704e-06,1.6103908073488192e-13,100
HeavyTailed,Greedy+Max,0.0,0.0,2.705100458115339e-05,1.8555578779711227e-13,100
HeavyTailed,GreedyDensity,0.4123789346140348,6.304980199664357e-09,2.3387009277939797e-05,6.50033732649017e-13,100
InverseCorr,Greedy+Max,0.0,0.0,2.6432001031935215e-05,2.0260771194975397e-13,100
InverseCorr,GreedyDensity,0.41329815584599944,6.168327744318382e-06,2.296899212524295e-05,2.224960303784775e-12,100
StronglyCorr,Greedy+Max,0.0,0.0,2.6950000319629907e-05,1.8534366777627056e-13,100
StronglyCorr,GreedyDensity,0.41441030723488603,1.6076988734370626e-06,2.3627004120498897e-05,9.969414313343825e-13,100
Uncorrelated,Greedy+Max,0.0,0.0,1.0423993226140737e-05,2.1072553894796798e-13,100
Uncorrelated,GreedyDensity,0.38200843470585766,0.000749207518316406,8.383996319025754e-06,3.9366864134123203e-13,100
Uncorrelated-Large,Greedy+Max,0.05598100824949139,1.471519999113905e-06,9.873099392279983e-05,8.227575268885988e-13,100
Uncorrelated-Large,GreedyDensity,0.43863500794122534,5.756750376663432e-05,8.258201414719224e-05,6.449683578598187e-12,100
WeaklyCorr,Greedy+Max,0.0,0.0,2.6907003484666347e-05,1.4673226349894842e-12,100
WeaklyCorr,GreedyDensity,0.3888365442010256,0.0005340667604811745,2.3283998016268014e-05,2.096518300504363e-12,100
