class,algo,energy_proxy_mean,energy_proxy_std,count
GreedyTrap,Greedy+Max,2.6726995129138233e-05,4.1726170581495365e-07,100
GreedyTrap,GreedyDensity,2.299101557582617e-05,7.479400320428342e-07,100
GreedyTrap-ADV,Greedy+Max,2.403995022177696e-06,8.275907603147423e-08,100
GreedyTrap-ADV,GreedyDensity,1.9759940914809704e-06,4.0129674897123443e-07,100
HeavyTailed,Greedy+Max,2.705100458115339e-05,4.307618690147866e-07,100
HeavyTailed,GreedyDensity,2.3387009277939797e-05,8.062466946592819e-07,100
InverseCorr,Greedy+Max,2.6432001031935215e-05,4.501196640336363e-07,100
InverseCorr,GreedyDensity,2.296899212524295e-05,1.491630082756705e-06,100
StronglyCorr,Greedy+Max,2.6950000319629907e-05,4.3051558366250887e-07,100
StronglyCorr,GreedyDensity,2.3627004120498897e-05,9.984695445202037e-07,100
Uncorrelated,Greedy+Max,1.0423993226140737e-05,4.5904851480858515e-07,100
Uncorrelated,GreedyDensity,8.383996319025754e-06,6.274301884203788e-07,100
Uncorrelated-Large,Greedy+Max,9.873099392279717e-05,9.070598254108184e-07,100
Uncorrelated-Large,GreedyDensity,8.258201414719224e-05,2.539622723673379e-06,100
WeaklyCorr,Greedy+Max,2.6907003484666347e-05,1.2113309353721145e-06,100
WeaklyCorr,GreedyDensity,2.3283998016268014e-05,1.4479358758261233e-06,100
