class,algo,mean_peak_bytes,std_peak_bytes,count
GreedyTrap,Greedy+Max,7309.6,71.95554182966043,10
GreedyTrap,GreedyDensity,7309.6,71.95554182966043,10
GreedyTrap-ADV,Greedy+Max,453.6,17.708754896942924,10
GreedyTrap-ADV,GreedyDensity,504.0,0.0,10
HeavyTailed,Greedy+Max,7193.6,68.90121753479957,10
HeavyTailed,GreedyDensity,7193.6,68.90121753479957,10
InverseCorr,Greedy+Max,21996.8,46895.75892883183,10
InverseCorr,GreedyDensity,7165.6,124.51077597273802,10
StronglyCorr,Greedy+Max,7173.6,43.00697617828986,10
StronglyCorr,GreedyDensity,7173.6,43.00697617828986,10
Uncorrelated,Greedy+Max,16529.0,47867.39694196876,10
Uncorrelated,GreedyDensity,16245.5,46634.557528010635,10
WeaklyCorr,Greedy+Max,6986.4,74.48072084625512,10
WeaklyCorr,GreedyDensity,6986.4,74.48072084625512,10
