class,algo,mean_runtime_s,var_runtime,ci95_runtime,mean_gap,var_gap,ci95_gap,opt_ratio,count
GreedyTrap,Greedy+Max,2.6726995129138233e-05,1.741073311396041e-13,8.178329433973072e-08,0.0,0.0,0.0,1.0,100
GreedyTrap,GreedyDensity,2.299101557582617e-05,5.594142915322365e-13,1.4659624628039558e-07,0.3812796127762173,0.0005586891985879488,0.004632775005647764,1.0,100
GreedyTrap-ADV,Greedy+Max,2.403995022177696e-06,6.849064665583332e-15,1.6220778902168948e-08,0.0,0.0,0.0,1.0,100
GreedyTrap-ADV,GreedyDensity,1.9759940914809704e-06,1.6103908073488212e-13,7.865416279836199e-08,0.03521817023351669,0.0005437130287869581,0.004570260355152624,1.0,100
HeavyTailed,Greedy+Max,2.705100458115339e-05,1.855557877971122e-13,8.442932632689818e-08,0.0,0.0,0.0,1.0,100
HeavyTailed,GreedyDensity,2.3387009277939797e-05,6.500337326490174e-13,1.5802435215321925e-07,0.41237893461403474,6.304980199662361e-09,1.556316546690387e-05,1.0,100
InverseCorr,Greedy+Max,2.6432001031935215e-05,2.026077119497535e-13,8.822345415059269e-08,0.0,0.0,0.0,1.0,100
InverseCorr,GreedyDensity,2.296899212524295e-05,2.224960303784774e-12,2.9235949622031415e-07,0.4132981558459993,6.168327744318407e-06,0.00048678791955607937,1.0,100
StronglyCorr,Greedy+Max,2.6950000319629907e-05,1.8534366777627089e-13,8.438105439785179e-08,0.0,0.0,0.0,1.0,100
StronglyCorr,GreedyDensity,2.3627004120498897e-05,9.96941431334383e-13,1.957000307259599e-07,0.4144103072348859,1.607698873437011e-06,0.00024851832914687846,1.0,100
Uncorrelated,Greedy+Max,1.0423993226140737e-05,2.10725538947968e-13,8.997350890248274e-08,0.0,0.0,0.0,1.0,100
Uncorrelated,GreedyDensity,8.383996319025754e-06,3.9366864134123203e-13,1.2297631693039426e-07,0.3820084347058576,0.0007492075183164055,0.005364844454748248,1.0,100
Uncorrelated-Large,Greedy+Max,9.873099392279719e-05,8.227575268742942e-13,1.777837257805193e-07,0.05598100824949134,1.4715199991139128e-06,0.00023776019912079494,0.0,100
Uncorrelated-Large,GreedyDensity,8.258201414719224e-05,6.4496835785982034e-12,4.977660538399827e-07,0.43863500794122534,5.756750376663413e-05,0.0014871157401826584,0.0,100
WeaklyCorr,Greedy+Max,2.6907003484666347e-05,1.4673226349894832e-12,2.3742086333293453e-07,0.0,0.0,0.0,1.0,100
WeaklyCorr,GreedyDensity,2.3283998016268014e-05,2.096518300504364e-12,2.8379543166192023e-07,0.38883654420102554,0.0005340667604811742,0.004529537357241332,1.0,100
