algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_basic,647,0.0013026999949943274,81,81,0.0,16,0.00165557861328125,True,647,0.0009082999895326793,True,500,15,661,False,,Uncorrelated,0,7673696
bb_enhanced,647,0.0017503999988548458,59,59,0.0,34,0.00852203369140625,True,647,0.0009082999895326793,True,500,15,661,False,,Uncorrelated,0,7673696
bb_basic,713,0.0002849000011337921,43,43,0.0,16,0.00167083740234375,True,713,0.0008963000000221655,True,500,15,632,False,,Uncorrelated,1,7739233
bb_enhanced,713,0.0008486000006087124,36,36,0.0,20,0.0048980712890625,True,713,0.0008963000000221655,True,500,15,632,False,,Uncorrelated,1,7739233
bb_basic,721,0.0003612000000430271,46,46,0.0,16,0.00168609619140625,True,721,0.001193600008264184,True,500,15,617,False,,Uncorrelated,2,7804770
bb_enhanced,721,0.0011219000007258728,46,46,0.0,25,0.00612640380859375,True,721,0.001193600008264184,True,500,15,617,False,,Uncorrelated,2,7804770
bb_basic,747,0.00021269998978823423,30,30,0.0,16,0.00128936767578125,True,747,0.0008497999951941893,True,500,15,867,False,,Uncorrelated,3,7870307
bb_enhanced,747,0.0006196000031195581,30,30,0.0,19,0.00341033935546875,True,747,0.0008497999951941893,True,500,15,867,False,,Uncorrelated,3,7870307
bb_basic,404,0.00022470000840257853,38,38,0.0,16,0.00131988525390625,True,404,0.0007740000000922009,True,500,15,775,False,,Uncorrelated,4,7935844
bb_enhanced,404,0.0007029999978840351,36,36,0.0,23,0.0039520263671875,True,404,0.0007740000000922009,True,500,15,775,False,,Uncorrelated,4,7935844
bb_basic,587,0.0002555999963078648,40,40,0.0,16,0.00121307373046875,True,587,0.0008434999908786267,True,500,15,866,False,,Uncorrelated,5,8001381
bb_enhanced,587,0.0008789999992586672,40,40,0.0,24,0.00493621826171875,True,587,0.0008434999908786267,True,500,15,866,False,,Uncorrelated,5,8001381
bb_basic,694,0.00025290000485256314,38,38,0.0,16,0.00141143798828125,True,694,0.0008416999917244539,True,500,15,745,False,,Uncorrelated,6,8066918
