class,algo,n,mean_first_opt_node,std_first_opt_node,ci95_first_opt_node,mean_convergence_speed,std_convergence_speed,ci95_convergence_speed,count
GreedyTrap,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
GreedyTrap,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
GreedyTrap,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
GreedyTrap,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
GreedyTrap,bb_enhanced,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
GreedyTrap,bb_enhanced,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
GreedyTrap,bb_enhanced,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
GreedyTrap,bb_enhanced,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
ProbingBenefit,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
ProbingBenefit,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
ProbingBenefit,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
ProbingBenefit,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
ProbingBenefit,bb_enhanced,15,45.75,20.61137907488048,9.033335165404099,0.0274749145740033,0.01467526999597247,0.006431720654634872,20
ProbingBenefit,bb_enhanced,20,175.5,105.60427622920739,46.28311471118188,0.010712735523604012,0.011010485413637514,0.00482555799463202,20
ProbingBenefit,bb_enhanced,25,399.35,389.9534756325359,170.904645997025,0.007253996424229994,0.007312741376914296,0.003204950216848532,20
ProbingBenefit,bb_enhanced,30,964.5,1252.772315181099,549.0516751866469,0.004556038578791997,0.004922996943796332,0.0021575985405930522,20
StronglyCorr,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
StronglyCorr,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
StronglyCorr,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
StronglyCorr,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
StronglyCorr,bb_enhanced,15,265.75,333.66085444575856,146.2333169863903,0.011751076838744146,0.012614877123179017,0.005528713663946113,20
StronglyCorr,bb_enhanced,20,578.25,862.1497534468249,377.85378927638965,0.011938919313134169,0.016257669847028616,0.0071252379670061,20
StronglyCorr,bb_enhanced,25,3285.4,5821.915776208305,2551.5670892365238,0.003064721767963464,0.004456267227446004,0.0019530452235088608,20
StronglyCorr,bb_enhanced,30,4394.5,4078.217806062375,1787.3577593154826,0.0016756971350660968,0.003829635261195995,0.0016784116555206238,20
SubsetSum,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
SubsetSum,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
SubsetSum,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
SubsetSum,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
SubsetSum,bb_enhanced,15,348.65,225.66656236230713,98.90273164339959,0.004115037648120084,0.002560151657370566,0.0011220359351635097,20
SubsetSum,bb_enhanced,20,427.85,181.07755680632363,79.36073833882979,0.0027813283701120027,0.0012302903263589058,0.0005391985091525872,20
SubsetSum,bb_enhanced,25,883.45,408.61659741646633,179.0841197573452,0.0013662096581723408,0.0005784231108110774,0.00025350510552397064,20
SubsetSum,bb_enhanced,30,986.8,417.44531315333296,182.95347503150975,0.0011776545459222523,0.00045759462477963067,0.00020054968668056973,20
Uncorrelated,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
Uncorrelated,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
Uncorrelated,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
Uncorrelated,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
Uncorrelated,bb_enhanced,15,20.95,5.286278165411395,2.31681355586322,0.05029943406528411,0.010955708242083521,0.004801550840706881,20
Uncorrelated,bb_enhanced,20,36.5,24.108308242508215,10.565931946342303,0.034600410337552866,0.012630105705747291,0.005535387884527544,20
Uncorrelated,bb_enhanced,25,47.3,18.25578495191391,8.000950522479057,0.024127637185349875,0.008602647132963317,0.0037702763400469306,20
Uncorrelated,bb_enhanced,30,49.2,17.757429875673836,7.782536780307698,0.022536444297725933,0.006769803894194039,0.00296699737354509,20
WeaklyCorr,bb_basic,15,16.0,0.0,0.0,0.0625,0.0,0.0,20
WeaklyCorr,bb_basic,20,21.0,0.0,0.0,0.04761904761904763,1.4238309865648918e-17,6.240214433882188e-18,20
WeaklyCorr,bb_basic,25,26.0,0.0,0.0,0.03846153846153846,7.119154932824459e-18,3.120107216941094e-18,20
WeaklyCorr,bb_basic,30,31.0,0.0,0.0,0.032258064516129024,7.119154932824459e-18,3.120107216941094e-18,20
WeaklyCorr,bb_enhanced,15,71.2,52.50423541812704,23.01099574231049,0.022731471290716593,0.01666618408857574,0.007304277227325824,20
WeaklyCorr,bb_enhanced,20,84.4,73.86930136538808,32.374648743471454,0.02084645485801474,0.013829493051241015,0.006061042565159435,20
WeaklyCorr,bb_enhanced,25,145.1,104.7357074786466,45.90244767238223,0.010370825936461199,0.006716886498131056,0.0029438053021664246,20
WeaklyCorr,bb_enhanced,30,159.3,94.68624087229524,41.498074740376744,0.009301288235065775,0.006776570135537233,0.0029699628095618187,20
