class,algo,n,mean_nodes_explored,std_nodes_explored,ci95_nodes_explored,mean_nodes_generated,std_nodes_generated,mean_exploration_ratio,std_exploration_ratio,count
GreedyTrap,bb_basic,15,31.0,0.0,0.0,31.0,0.0,100.0,0.0,20
GreedyTrap,bb_basic,20,41.0,0.0,0.0,41.0,0.0,100.0,0.0,20
GreedyTrap,bb_basic,25,51.0,0.0,0.0,51.0,0.0,100.0,0.0,20
GreedyTrap,bb_basic,30,61.0,0.0,0.0,61.0,0.0,100.0,0.0,20
GreedyTrap,bb_enhanced,15,31.0,0.0,0.0,31.0,0.0,100.0,0.0,20
GreedyTrap,bb_enhanced,20,41.0,0.0,0.0,41.0,0.0,100.0,0.0,20
GreedyTrap,bb_enhanced,25,51.0,0.0,0.0,51.0,0.0,100.0,0.0,20
GreedyTrap,bb_enhanced,30,61.0,0.0,0.0,61.0,0.0,100.0,0.0,20
ProbingBenefit,bb_basic,15,80.75,35.21045747770786,15.43166338204803,80.75,35.21045747770786,100.0,0.0,20
ProbingBenefit,bb_basic,20,295.95,161.4521193484473,70.75951113900929,295.95,161.4521193484473,100.0,0.0,20
ProbingBenefit,bb_basic,25,614.25,590.2223376785538,258.676344702064,614.25,590.2223376785538,100.0,0.0,20
ProbingBenefit,bb_basic,30,1547.2,1579.3977399795886,692.2015791803638,1547.2,1579.3977399795886,100.0,0.0,20
ProbingBenefit,bb_enhanced,15,80.95,34.562643356512446,15.14774632533969,80.95,34.562643356512446,100.0,0.0,20
ProbingBenefit,bb_enhanced,20,279.7,161.8684000889872,70.94195421758924,279.7,161.8684000889872,100.0,0.0,20
ProbingBenefit,bb_enhanced,25,553.5,531.3691847729935,232.88281318700768,553.5,531.3691847729935,100.0,0.0,20
ProbingBenefit,bb_enhanced,30,1271.9,1642.4448688977118,719.8332017255987,1271.9,1642.4448688977118,100.0,0.0,20
StronglyCorr,bb_basic,15,454.05,524.9910751121093,230.0874833801494,454.05,524.9910751121093,100.0,0.0,20
StronglyCorr,bb_basic,20,793.65,1161.7233240229568,509.14769541821977,793.65,1161.7233240229568,100.0,0.0,20
StronglyCorr,bb_basic,25,3943.15,6854.064497377489,3003.9262111075827,3943.15,6854.064497377489,100.0,0.0,20
StronglyCorr,bb_basic,30,4978.0,4569.901069987586,2002.8474508164882,4978.0,4569.901069987586,100.0,0.0,20
StronglyCorr,bb_enhanced,15,410.4,499.5679607104733,218.94531222779423,410.4,499.5679607104733,100.0,0.0,20
StronglyCorr,bb_enhanced,20,791.55,1163.8295441750638,510.07078709961525,791.55,1163.8295441750638,100.0,0.0,20
StronglyCorr,bb_enhanced,25,3976.25,6951.429961753041,3046.5985073204783,3976.25,6951.429961753041,100.0,0.0,20
StronglyCorr,bb_enhanced,30,5018.85,4601.370382545663,2016.6394851451578,5018.85,4601.370382545663,100.0,0.0,20
SubsetSum,bb_basic,15,134.45,134.89624668025812,59.12088678738095,134.45,134.89624668025812,100.0,0.0,20
SubsetSum,bb_basic,20,164.8,154.79582477709485,67.84226141960714,164.8,154.79582477709485,100.0,0.0,20
SubsetSum,bb_basic,25,147.75,106.56447270129601,46.70393936951763,147.75,106.56447270129601,100.0,0.0,20
SubsetSum,bb_basic,30,177.85,224.19922414063603,98.2596423135101,177.85,224.19922414063603,100.0,0.0,20
SubsetSum,bb_enhanced,15,643.6,400.25273594515124,175.41849584771182,643.6,400.25273594515124,100.0,0.0,20
SubsetSum,bb_enhanced,20,814.2,333.81457191239065,146.3006866365151,814.2,333.81457191239065,100.0,0.0,20
SubsetSum,bb_enhanced,25,1689.4,771.665212381639,338.19719066840275,1689.4,771.665212381639,100.0,0.0,20
SubsetSum,bb_enhanced,30,1892.35,770.0678900351305,337.4971332840434,1892.35,770.0678900351305,100.0,0.0,20
Uncorrelated,bb_basic,15,37.35,12.877050168910253,5.64361606736226,37.35,12.877050168910253,100.0,0.0,20
Uncorrelated,bb_basic,20,61.6,42.01804123794545,18.415218511929343,61.6,42.01804123794545,100.0,0.0,20
Uncorrelated,bb_basic,25,85.0,43.784159596581816,19.189254010348716,85.0,43.784159596581816,100.0,0.0,20
Uncorrelated,bb_basic,30,81.75,40.02745768120994,17.54280680296958,81.75,40.02745768120994,100.0,0.0,20
Uncorrelated,bb_enhanced,15,35.5,9.456270545599832,4.144393295703688,35.5,9.456270545599832,100.0,0.0,20
Uncorrelated,bb_enhanced,20,56.95,37.12067802239212,16.268854448074443,56.95,37.12067802239212,100.0,0.0,20
Uncorrelated,bb_enhanced,25,70.35,27.840286976742327,12.201543741847196,70.35,27.840286976742327,100.0,0.0,20
Uncorrelated,bb_enhanced,30,72.25,26.32564289213486,11.537721703406751,72.25,26.32564289213486,100.0,0.0,20
WeaklyCorr,bb_basic,15,122.1,88.41582378023088,38.749943282810776,122.1,88.41582378023088,100.0,0.0,20
WeaklyCorr,bb_basic,20,161.75,113.92604942172841,49.93029261933712,161.75,113.92604942172841,100.0,0.0,20
WeaklyCorr,bb_basic,25,254.65,133.21501219338685,58.38405328602377,254.65,133.21501219338685,100.0,0.0,20
WeaklyCorr,bb_basic,30,362.4,272.21960948740207,119.30550411796642,362.4,272.21960948740207,100.0,0.0,20
WeaklyCorr,bb_enhanced,15,109.0,77.9487010796203,34.16252449688108,109.0,77.9487010796203,100.0,0.0,20
WeaklyCorr,bb_enhanced,20,117.45,98.31178919507488,43.087041351444086,117.45,98.31178919507488,100.0,0.0,20
WeaklyCorr,bb_enhanced,25,194.8,132.17516288702097,57.928319233887294,194.8,132.17516288702097,100.0,0.0,20
WeaklyCorr,bb_enhanced,30,205.05,116.81585824211587,51.19680717635263,205.05,116.81585824211587,100.0,0.0,20
